group,variable,value
FD,2005,11.0
FD,2006,6.4
FD,2007,8.0
FD,2008,15.2
FD,2009,12.0
FD,2010,,7.8
FD,2011,7.5
FD,2012,10.4
FD,2013,8.0
FD,2014,9.0
RN,2005,2
RN,2006,0.0
RN,2007,3.6
RN,2008,5.0
RN,2009,6.0
RN,2010,4.2
RN,2011,5.0
RN,2012,4.5
RN,2013,0
RN,2014,5.8
NJ,2005,1.0
NJ,2006,6.0
NJ,2007,9.2
NJ,2008,9.3
NJ,2009,7.4
NJ,2010,,6.3
NJ,2011,7.7
NJ,2012,8.14
NJ,2013,7.67
NJ,2014,8.4
AM,2005,0.0
AM,2006,7.0
AM,2007,7.75
AM,2008,7.0
AM,2009,6.2
AM,2010,8.85
AM,2011,9.83
AM,2012,6.7
AM,2013,11.83
AM,2014,8.0
AR,2005,15.2
AR,2006,12.5
AR,2007,12.5
AR,2008,7.67
AR,2009,14.5
AR,2010,18.8
AR,2011,19.0
AR,2012,11.0
AR,2013,0
AR,2014,0
JT,2005,0
JT,2006,0
JT,2007,15.5
JT,2008,14.16
JT,2009,11.0
JT,2010,16.16
JT,2011,12.33
JT,2012,11.25
JT,2013,13.0
JT,2014,13.5
DF,2005,4.0
DF,2006,2.0
DF,2007,4.75
DF,2008,3.8
DF,2009,5.33
DF,2010,1.5
DF,2011,5.5
DF,2012,3.2
DF,2013,5.5
DF,2014,1.8
FV,2005,3.5
FV,2006,6.0
FV,2007,12.0
FV,2008,9.5
FV,2009,8.67
FV,2010,7.0
FV,2011,11.0
FV,2012,15.0
FV,2013,4.0
FV,2014,16.0
MB,2005,7.8
MB,2006,9.0
MB,2007,8.5
MB,2008,16.0
MB,2009,9.25
MB,2010,7.67
MB,2011,11.3
MB,2012,9.5
MB,2013,10.33
MB,2014,8.0
MC,2005,0.0
MC,2006,0.0
MC,2007,6.0
MC,2008,10.75
MC,2009,13.75
MC,2010,14.5
MC,2011,12.75
MC,2012,0.0
MC,2013,10.33
MC,2014,18.5
