group,variable,value
FD,2005,30
FD,2006,95
FD,2007,22
FD,2008,14
FD,2009,59
FD,2010,,52
FD,2011,88
FD,2012,20
FD,2013,99
FD,2014,66
RN,2005,30
RN,2006,95
RN,2007,22
RN,2008,14
RN,2009,59
RN,2010,,52
RN,2011,88
RN,2012,20
RN,2013,99
RN,2014,66
NJ,2005,30
NJ,2006,95
NJ,2007,22
NJ,2008,14
NJ,2009,59
NJ,2010,,52
NJ,2011,88
NJ,2012,20
NJ,2013,99
NJ,2014,66
AM,2005,30
AM,2006,95
AM,2007,22
AM,2008,14
AM,2009,59
AM,2010,,52
AM,2011,88
AM,2012,20
AM,2013,99
AM,2014,66
AR,2005,30
AR,2006,95
AR,2007,22
AR,2008,14
AR,2009,59
AR,2010,,52
AR,2011,88
AR,2012,20
AR,2013,99
AR,2014,66
JT,2005,30
JT,2006,95
JT,2007,22
JT,2008,14
JT,2009,59
JT,2010,,52
JT,2011,88
JT,2012,20
JT,2013,99
JT,2014,66
DF,2005,30
DF,2006,95
DF,2007,22
DF,2008,14
DF,2009,59
DF,2010,,52
DF,2011,88
DF,2012,20
DF,2013,99
DF,2014,66
FV,2005,30
FV,2006,95
FV,2007,22
FV,2008,14
FV,2009,59
FV,2010,,52
FV,2011,88
FV,2012,20
FV,2013,99
FV,2014,66
MB,2005,30
MB,2006,95
MB,2007,22
MB,2008,14
MB,2009,59
MB,2010,,52
MB,2011,88
MB,2012,20
MB,2013,99
MB,2014,66
MC,2005,30
MC,2006,30
MC,2007,14
MC,2008,14
MC,2009,59
MC,2010,,52
MC,2011,88
MC,2012,20
MC,2013,99
MC,2014,66
